Orthologs,TC,RTC,TCA,RTCA,Taxa,Not sure,Pythia scores
cluster10003_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,-8.091873,-0.404594,-7.914695,-0.395735,23,0.470995,0.37
cluster10005_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,5.127824,0.14244,7.23826,0.201063,39,1.09264,0.19
cluster10017_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,6.73579,0.187105,8.858656,0.246074,39,0.942961,0.24
cluster10024_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,10.152254,0.338408,9.854339,0.328478,33,1.14916,0.21
cluster10026_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,5.47205,0.176518,8.364305,0.269816,34,0.866396,0.21
cluster10030_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.430826,0.218554,8.634023,0.253942,37,1.26248,0.09
cluster10068_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,-11.273867,-0.32211,-8.153098,-0.232946,38,1.63705,0.1
cluster10079_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,8.338116,0.25267,9.257902,0.280542,36,1.31241,0.26
cluster10095_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,3.133791,0.08705,6.234554,0.173182,39,1.30923,0.48
cluster10103_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.039421,0.195539,7.218264,0.200507,39,0.894944,0.2
cluster10108_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,10.623156,0.295088,11.516152,0.319893,39,1.13962,0.22
cluster10145_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,4.74799,0.131889,6.57809,0.182725,39,0.874177,0.24
cluster10159_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,5.345252,0.148479,6.897553,0.191599,39,1.21483,0.21
cluster10163_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,9.339058,0.26683,10.446231,0.298464,38,1.1704,0.25
cluster10172_1rr_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,4.763747,0.132326,6.239204,0.173311,39,1.63711,0.22
cluster10173_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,6.319914,0.175553,8.591882,0.238663,39,1.23718,0.33
cluster10179_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,6.266778,0.368634,6.819189,0.401129,20,0.912841,0.14
cluster10186_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,-13.593666,-0.438505,-10.007306,-0.322816,34,1.12987,0.15
cluster10199_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.620073,0.165296,7.588857,0.223202,37,1.15192,0.25
cluster10203_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.687564,0.196123,6.719532,0.231708,32,0.840539,0.4
cluster10215_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.0044,0.444689,8.307795,0.461544,21,0.305397,0.15
cluster10222_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.7267,0.19089,8.134443,0.271148,33,0.907884,0.17
cluster10229_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,4.643049,0.149776,8.507749,0.274444,34,1.11654,0.27
cluster10237_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,6.960531,0.198872,9.055583,0.258731,38,1.09621,0.19
cluster10263_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,4.727509,0.13132,7.025431,0.195151,39,1.21291,0.23
cluster10265_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,7.167146,0.238905,8.314827,0.277161,33,0.985034,0.14
cluster10266_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,13.462722,0.373965,13.571349,0.376982,39,1.33142,0.22
cluster10272_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,11.558358,0.350253,12.275156,0.371974,36,1.18431,0.21
cluster1029_1rr_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,9.967004,0.586294,9.812577,0.57721,20,1.1894,0.0
cluster10307_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,5.162437,0.143401,8.398137,0.233282,39,0.780227,0.13
cluster10334_1rr_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.600455,0.268764,8.906241,0.27832,35,1.18576,0.1
cluster10358_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,9.286996,0.265343,10.478315,0.29938,38,1.01664,0.35
cluster10359_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,2.056651,0.057129,7.174503,0.199292,39,0.842116,0.2
cluster10372_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.072735,0.214325,8.656439,0.262316,36,1.01221,0.28
cluster10373_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,4.189318,0.123215,6.412863,0.188614,37,1.20802,0.18
cluster10390_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.717596,0.214378,9.283001,0.257861,39,1.2285,0.37
cluster10426_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,4.926201,0.136839,6.639089,0.184419,39,1.13016,0.26
cluster1043_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.345509,0.31937,8.388011,0.364696,26,1.0014,0.15
cluster10439_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,15.086891,0.431054,15.851508,0.4529,38,1.34411,0.04
cluster10442_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.128669,0.203676,8.014414,0.228983,38,1.01116,0.21
cluster10452_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,-9.530262,-0.414359,-7.521223,-0.32701,26,0.598732,0.46
cluster10457_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.543447,0.244098,9.918704,0.283392,38,1.27881,0.2
cluster10461_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.968929,0.284605,8.824618,0.315165,31,1.04274,0.24
cluster10468_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.044426,0.140123,6.989496,0.194153,39,1.38602,0.33
cluster10506_1rr_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,6.823435,0.235291,8.188903,0.282376,32,0.680485,0.36
cluster10526_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,4.538514,0.1565,6.810587,0.234848,32,1.45745,0.47
cluster10530_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,5.606895,0.160197,6.64057,0.189731,38,0.992793,0.14
cluster10535_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,7.753154,0.215365,8.393158,0.233143,39,0.880297,0.29
cluster10542_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,5.371921,0.153483,7.090108,0.202575,38,1.21374,0.19
cluster10576_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,3.215554,0.100486,6.564628,0.205145,35,1.05125,0.31
cluster10583_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,6.488368,0.324418,6.528896,0.326445,23,1.195,0.19
cluster1059_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.551417,0.237539,10.477324,0.291037,39,1.52366,0.03
cluster10633_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.165544,0.358277,7.157814,0.357891,23,1.23287,0.13
cluster10678_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.258708,0.235963,9.166136,0.26189,38,0.854706,0.23
cluster10679_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,8.220561,0.228349,10.101788,0.280605,39,0.884809,0.15
cluster10700_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,6.047589,0.195084,7.306894,0.235706,34,0.942873,0.42
cluster10707_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,6.233163,0.17809,7.930249,0.226579,38,1.226,0.35
cluster10726_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,6.982476,0.193958,10.041146,0.278921,39,0.944194,0.31
cluster10733_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,6.006223,0.187694,6.512687,0.203521,35,1.41274,0.27
cluster10744_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,6.907534,0.300328,7.175136,0.311962,26,1.00479,0.29
cluster10757_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.545362,0.260185,8.068468,0.278223,32,0.93225,0.29
cluster1076_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,12.774488,0.354847,13.971733,0.388104,39,1.11806,0.24
cluster10783_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,6.214459,0.258936,6.50951,0.27123,27,0.575032,0.35
cluster10795_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,7.352565,0.262592,8.840151,0.31572,31,1.21845,0.17
cluster10802_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,6.480657,0.196384,7.448248,0.225704,36,1.13359,0.08
cluster10815_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,-8.005858,-0.333577,-6.067608,-0.252817,27,0.485874,0.35
cluster10819_1rr_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.526324,0.162539,7.493725,0.220404,37,1.09121,0.22
cluster10827_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.842873,0.340994,8.822148,0.383572,26,1.26743,0.18
cluster10830_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.116038,0.225446,10.340261,0.287229,39,1.13127,0.42
cluster10839_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,15.937116,0.531237,16.050417,0.535014,33,1.03676,0.0
cluster10844_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,6.01314,0.193972,6.343564,0.204631,34,0.941697,0.24
cluster10846_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,10.045808,0.27905,11.477265,0.318813,39,1.16868,0.15
cluster10847_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,6.240106,0.195003,7.793194,0.243537,35,1.0654,0.49
cluster10862_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,7.806495,0.289129,8.468974,0.313666,30,1.3178,0.07
cluster10882_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,2.069316,0.057481,8.076293,0.224341,39,0.922178,0.23
cluster10884_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,12.519865,0.391246,13.385126,0.418285,35,0.932106,0.02
cluster1092_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,15.18967,0.421935,15.106269,0.419619,39,1.35338,0.05
cluster10951_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,-11.74125,-0.37875,-7.635091,-0.246293,34,0.789658,0.49
cluster10973_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,4.780828,0.207862,6.12092,0.266127,26,0.365292,0.22
cluster1099_2rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.637137,0.23992,11.011246,0.305868,39,1.13259,0.24
cluster10993_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,3.11303,0.086473,7.294088,0.202614,39,0.835507,0.18
cluster10994_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,1.306904,0.042158,6.530603,0.210665,34,0.778992,0.25
cluster10998_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,5.581359,0.164158,9.583689,0.281873,37,0.991277,0.27
cluster11006_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,8.178904,0.247846,8.883167,0.269187,36,1.11559,0.14
