Orthologs,TC,RTC,TCA,RTCA,Taxa,Not sure,Pythia scores
cluster10003_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,-8.091873,-0.404594,-7.914695,-0.395735,23,0.470995,0.37
cluster10004_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,4.842599,0.146745,5.024602,0.152261,36,1.53685,0.33
cluster10005_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,5.127824,0.14244,7.23826,0.201063,39,1.09264,0.19
cluster10006_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,-0.669448,-0.023909,1.554099,0.055504,31,0.974295,0.53
cluster10007_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,-8.248484,-0.229125,-3.350054,-0.093057,39,0.738831,0.66
cluster10008_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,0.924003,0.0308,3.960428,0.132014,33,1.45262,0.47
cluster10009_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,-3.148732,-0.09261,1.50509,0.044267,37,1.11712,0.42
cluster10012_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,2.855804,0.114232,4.268496,0.17074,28,0.431721,0.38
cluster10014_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,-5.541945,-0.153943,-1.916048,-0.053224,39,0.946251,0.11
cluster10015_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,-7.760792,-0.215578,-1.353172,-0.037588,39,0.918209,0.7
cluster10017_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,6.73579,0.187105,8.858656,0.246074,39,0.942961,0.24
cluster10020_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,2.789907,0.126814,4.111835,0.186902,25,1.2194,0.23
cluster10021_1rr_1rr_1rr_1rr_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,-5.734798,-0.220569,-1.391572,-0.053522,29,0.314857,0.5
